id,Mk,Cn,e (g/km),Ft,Column1,e (g/m)
315134,ABARTH,595,139,PETROL,,0.139
232776,ABARTH,124-SPIDER-MULTIAIR,148,PETROL,,0.148
263970,ABARTH,124-SPIDER-MULTIAIR-AUTO,153,PETROL,,0.153
18210,ABARTH,500-/-1.4-/-16V-TURBO,139,PETROL,,0.139
18211,ABARTH,500-/-1.4-/-16V-TURBO-C,139,PETROL,,0.139
18212,ABARTH,500-/-1.4-/-16V-TURBO-CA,134,PETROL,,0.134
201547,ABARTH,500C,155,PETROL,,0.155
251312,ABARTH,500-C,155,PETROL,,0.155
201548,ABARTH,500C-CUSTOM,139,PETROL,,0.139
189286,ABARTH,500C-CUSTOM-S-A,134,PETROL,,0.134
283471,ABARTH,500-CUSTOM-S-A,134,PETROL,,0.134
315135,ABARTH,595C,139,PETROL,,0.139
283474,ABARTH,595C-COMPETIZIONE,139,PETROL,,0.139
321035,ABARTH,595C-COMPETIZIONE-S-A,134,PETROL,,0.134
245585,ABARTH,595-COMPETIZIONE,139,PETROL,,0.139
245584,ABARTH,595-COMPETIZONE-S-A,134,PETROL,,0.134
283475,ABARTH,595C-S-A,134,PETROL,,0.134
283470,ABARTH,595C-TURISMO,139,PETROL,,0.139
321034,ABARTH,595C-TURISMO-S-A,134,PETROL,,0.134
321036,ABARTH,595-S-A,134,PETROL,,0.134
251242,ABARTH,595-TURISMO,155,PETROL,,0.155
283472,ABARTH,595-TURISMO-S-A,134,PETROL,,0.134
270801,ABARTH,595-YAMAHA-FACTORY-RACING,139,PETROL,,0.139
270501,ABARTH,695-BIPOSTO,145,PETROL,,0.145
301911,ABARTH,695-BIPOSTO-RECORD,145,PETROL,,0.145
269806,ALFA ROMEO,159,142,DIESEL,,0.142
269807,ALFA ROMEO,159-SPORTWAGON,139,DIESEL,,0.139
223746,ALFA ROMEO,4C,161,PETROL,,0.161
90865,ALFA ROMEO,4C-,161,PETROL,,0.161
460565,ALFA ROMEO,4-C,157,PETROL,,0.157
118077,ALFA ROMEO,4C-SPIDER,161,PETROL,,0.161
453034,ALFA ROMEO,4C-TBI-50TH-AN-SARY-SPIDER-S-A,161,PETROL,,0.161
447078,ALFA ROMEO,4C-TBI-LAUNCH-EDITION-S-A,157,PETROL,,0.157
440999,ALFA ROMEO,4C-TBI-S-A,157,PETROL,,0.157
447435,ALFA ROMEO,4C-TBI-SPIDER-S-A,161,PETROL,,0.161
219267,ALFA ROMEO,ALFA-GIULIA,148,PETROL,,0.148
219263,ALFA ROMEO,ALFA-GIULIA-QUADRIFOGLIO,198,PETROL,,0.198
269834,ALFA ROMEO,ALFA-GIULIETTA,177,PETROL,,0.177
182941,ALFA ROMEO,ALFA-GIULIETTA-,119,PETROL,,0.119
109050,ALFA ROMEO,ALFA--GIULIETTA,144,PETROL,,0.144
269853,ALFA ROMEO,ALFA-MITO,153,PETROL,,0.153
269857,ALFA ROMEO,ALFA-ROMEO-147,196,PETROL,,0.196
269860,ALFA ROMEO,ALFA-ROMEO-156,157,DIESEL,,0.157
269861,ALFA ROMEO,ALFA-ROMEO-159,210,DIESEL,,0.21
269864,ALFA ROMEO,ALFA-ROMEO-159-SPORTWAGON,162,DIESEL,,0.162
269865,ALFA ROMEO,ALFA-ROMEO-8C-SPIDER,379,PETROL,,0.379
269866,ALFA ROMEO,ALFA-ROMEO-CROSSWAGON,188,DIESEL,,0.188
411552,ALFA ROMEO,GIUIETTA,99,Diesel,,0.099
485379,ALFA ROMEO,GIULIA,198,PETROL,,0.198
90874,ALFA ROMEO,GIULIA-,198,PETROL,,0.198
18246,ALFA ROMEO,GIULIA-/-2.0-/-TB,138,PETROL,,0.138
18247,ALFA ROMEO,GIULIA-/-2.2-/-MULTIJET,109,Diesel,,0.109
18249,ALFA ROMEO,GIULIA-/-2.2-/-MULTIJET-CA,109,Diesel,,0.109
18250,ALFA ROMEO,GIULIA-/-2.2-/-MULTIJET-CA-Q4,122,Diesel,,0.122
18251,ALFA ROMEO,GIULIA-/-2.9-/-V6-QUADRIFOGLIO,198,PETROL,,0.198
18252,ALFA ROMEO,GIULIA-/-2.9-/-V6-QUADRIFOGLIO-CA,189,PETROL,,0.189
109060,ALFA ROMEO,GIULIA-QUADRIFOGLIO,198,PETROL,,0.198
440977,ALFA ROMEO,GIULIA-SPECIALE-TD-AUTO,109,diesel,,0.109
447415,ALFA ROMEO,GIULIA-SUPER-TD-AUTO,109,diesel,,0.109
440896,ALFA ROMEO,GIULIA-SUPER-TURBO-AUTO,138,PETROL,,0.138
441050,ALFA ROMEO,GIULIA-TECNICA-TD-AUTO,109,diesel,,0.109
440956,ALFA ROMEO,GIULIA-TURBO-AUTO,138,PETROL,,0.138
440954,ALFA ROMEO,GIULIA-V6-BITURBO-QV-AUTO-,189,PETROL,,0.189
491692,ALFA ROMEO,GIULIETTA,162,PETROL,,0.162
90871,ALFA ROMEO,GIULIETTA-,162,PETROL,,0.162
18255,ALFA ROMEO,GIULIETTA-/-1.4-/,144,PETROL,,0.144
18258,ALFA ROMEO,GIULIETTA-/-1.4-/-TCT,114,PETROL,,0.114
18259,ALFA ROMEO,GIULIETTA-/-1.6-/-JTD,103,Diesel,,0.103
18260,ALFA ROMEO,GIULIETTA-/-1.6-/-JTD-TCT,103,Diesel,,0.103
18262,ALFA ROMEO,GIULIETTA-/-1.8-/-TCT,157,PETROL,,0.157
18264,ALFA ROMEO,GIULIETTA-/-2.0-/-JTD,113,Diesel,,0.113
78646,ALFA ROMEO,GIULIETTA--1.4-T-120,148,PETROL,,0.148
453158,ALFA ROMEO,GIULIETTA-B-NESS-ED-JTDM-2-S-A,113,diesel,,0.113
453153,ALFA ROMEO,GIULIETTA-BNESS-ED-M-AIR-TB-SA,114,PETROL,,0.114
441096,ALFA ROMEO,GIULIETTA-BUSINESS-EDIT-JTDM-2,110,diesel,,0.11
440990,ALFA ROMEO,GIULIETTA-BUSINESS-EDTN-JTDM-2,104,diesel,,0.104
441020,ALFA ROMEO,GIULIETTA-COLLEZIONE-JTDM-2,110,diesel,,0.11
440968,ALFA ROMEO,GIULIETTA-COLLEZIONE-M-AIR-TB,127,PETROL,,0.127
447216,ALFA ROMEO,GIULIETTA-C-ZIONE-JTDM2-TCT-SA,113,diesel,,0.113
453152,ALFA ROMEO,GIULIETTA-C-ZIONE-M-AIR-TCT-SA,119,PETROL,,0.119
440970,ALFA ROMEO,GIULIETTA-DISTINCTIVE-JTDM-2,110,diesel,,0.11
447135,ALFA ROMEO,GIULIETTA-DISTINCTIVE-M-AIR-TB,127,PETROL,,0.127
453098,ALFA ROMEO,GIULIETTA-DISTINCTIVE-TB,148,PETROL,,0.148
447432,ALFA ROMEO,GIULIETTA-EXCLUSIVE-JTDM-2,110,diesel,,0.11
441095,ALFA ROMEO,GIULIETTA-EXCLUSIVE-JTDM-2-S-A,116,diesel,,0.116
441126,ALFA ROMEO,GIULIETTA-EXCLUSIVE-M-AIR-TB,131,PETROL,,0.131
453206,ALFA ROMEO,GIULIETTA-EX-IVE-M-AIR-TB-S-A,114,PETROL,,0.114
453378,ALFA ROMEO,GIULIETTA-JTDM-2,110,diesel,,0.11
447411,ALFA ROMEO,GIULIETTA-JTDM-2-S-A,99,diesel,,0.099
447429,ALFA ROMEO,GIULIETTA-MULTIAIR-SPECIALE-TB,127,PETROL,,0.127
447414,ALFA ROMEO,GIULIETTA-MULTIAIR-SP-TB-S-A,114,PETROL,,0.114
447407,ALFA ROMEO,GIULIETTA-MULTIAIR-SUPER-TB,127,PETROL,,0.127
440996,ALFA ROMEO,GIULIETTA-MULTIAIR-SUPER-TB-SA,114,PETROL,,0.114
441074,ALFA ROMEO,GIULIETTA-MULTIAIR-TB,127,PETROL,,0.127
447110,ALFA ROMEO,GIULIETTA-PROGRESSION-JTDM-2,99,diesel,,0.099
453157,ALFA ROMEO,GIULIETTA-PROGRESSION-TB,144,PETROL,,0.144
440993,ALFA ROMEO,GIULIETTA-QUAD-VERDE-MTBI-S-A,157,PETROL,,0.157
441021,ALFA ROMEO,GIULIETTA-QV-LINE-JTDM-2,110,diesel,,0.11
440964,ALFA ROMEO,GIULIETTA-QV-LINE-JTDM-2-S-A,116,diesel,,0.116
447401,ALFA ROMEO,GIULIETTA-QV-LINE-M-AIR-TB-S-A,119,PETROL,,0.119
447404,ALFA ROMEO,GIULIETTA-QV-LINE-MULTIAIR-TB,127,PETROL,,0.127
441027,ALFA ROMEO,GIULIETTA-SPECIALE-JTDM-2,110,diesel,,0.11
441076,ALFA ROMEO,GIULIETTA-SPECIALE-JTDM-2-S-A,113,diesel,,0.113
459437,ALFA ROMEO,GIULIETTA-SPRINT-MULTIAIR-TB,131,PETROL,,0.131
440994,ALFA ROMEO,GIULIETTA-SPRINT-SP-JTDM-2,110,diesel,,0.11
440967,ALFA ROMEO,GIULIETTA-SPRNT-M-AR-SP-TCT-SA,114,PETROL,,0.114
441019,ALFA ROMEO,GIULIETTA-SPRNT-MULTIAIR-SP-TB,127,PETROL,,0.127
447406,ALFA ROMEO,GIULIETTA-SPRNT-SP-JTDM2TCT-SA,113,diesel,,0.113
441081,ALFA ROMEO,GIULIETTA-SUPER-JTDM-2,110,diesel,,0.11
441024,ALFA ROMEO,GIULIETTA-SUPER-JTDM-2-S-A,113,diesel,,0.113
447405,ALFA ROMEO,GIULIETTA-TB,144,PETROL,,0.144
447434,ALFA ROMEO,GIULIETTA-TECNICA-JTDM-2,110,diesel,,0.11
441135,ALFA ROMEO,GIULIETTA-TECNICA-JTDM-2-S-A,113,diesel,,0.113
447410,ALFA ROMEO,GIULIETTA-VELOCE-TBI-S-A,157,PETROL,,0.157
242245,ALFA ROMEO,MITO,134,PETROL,,0.134
90784,ALFA ROMEO,MITO-,134,PETROL,,0.134
18267,ALFA ROMEO,MITO-/-1.4-/-8V,130,PETROL,,0.13
447375,ALFA ROMEO,MITO-8V,130,PETROL,,0.13
447425,ALFA ROMEO,MITO-COLLEZIONE-MULTIAIR-TB-SA,124,PETROL,,0.124
440961,ALFA ROMEO,MITO-COLLEZIONE-TWINAIR,99,PETROL,,0.099
447186,ALFA ROMEO,MITO-DISTINCTIVE-JTDM-2,112,diesel,,0.112
